gene_symbol,logFC,logCPM,F,PValue,FDR
MYCT1,-5.549074003969357,5.503508943121554,55.023366967852326,1.376472148169616e-7,0.0015117793603346894
C3orf80,-5.180614550693861,4.1783972473239555,38.15199555189942,1.4356313041076527e-6,0.007688074910377606
EREG,-3.1109720368415017,7.347128776128308,46.32837757241329,2.0999931467843776e-6,0.007688074910377606
CXCL2,-4.197922890133503,6.010751482652786,42.8211872850026,3.04836466732545e-6,0.008370047285308855
HLF,-11.060942083524031,4.565163878138046,56.32876897172327,3.9111026024532715e-6,0.008591127976548856
ST6GAL2,-5.854468238055858,4.406743636100678,29.250631083167722,1.1771390703244124e-5,0.021547530682288367
PREX2,-5.162116391382441,3.7146207683104526,27.60423360643036,1.8333539774325218e-5,0.028765323905916268
CRHBP,-3.3756255327095874,6.110685394804735,32.12856852634223,2.097170105669228e-5,0.028791524088206417
STON2,-3.790975358231158,4.609112695998226,25.88607636999829,4.961354603142891e-5,0.06054506400702041
HBM,8.602819929832075,7.6171340892138995,25.91302063796681,6.383048943291624e-5,0.0701050265441719
CFH,-4.263326469292167,4.017679782332639,21.53981839654236,9.469009295144204e-5,0.09454375371688072
CXCL8,-3.7544110395123194,5.679428275230695,22.99122011776142,1.300951865095533e-4,0.11030128160236896
LTB,10.199271604580012,5.289513637746329,23.697951045902908,1.39237585037252e-4,0.11030128160236896
RYR3,-2.937314419688928,5.059835160321296,22.668331642828804,1.4060074136694578e-4,0.11030128160236896
EPCAM,-3.702889532982731,3.7422574287033417,19.83939216556192,1.61887514772735e-4,0.1169738989619205
KLF5,-4.377066202183811,3.2763218748903915,19.170199922200535,1.708951187881389e-4,0.1169738989619205
PLXDC2,-2.8285303001135946,5.700846418018394,21.84221873012219,1.8105766023423915e-4,0.1169738989619205
PLAG1,-4.776113288447448,3.2446203432866754,19.03968376714643,1.9800255117046142e-4,0.12081455663917653
PLOD2,-3.462767021948214,4.967196681785082,20.58362554429148,2.15004763737044e-4,0.12284836133525476
MPDZ,-6.420485575030779,2.9093020501371756,22.636506188576057,2.255930890934761e-4,0.12284836133525476
MLLT3,-2.1598617000362776,6.860233282354784,20.76896358972043,2.363947136960706e-4,0.12284836133525476
CD79A,3.4896885775194457,7.402737315992982,20.580878649537564,2.460770235250482e-4,0.12284836133525476
EPGN,-4.345381376230413,3.727324844043306,17.657754653165693,2.7081522224226023e-4,0.12430193306613538
MS4A1,5.6605113468597,5.595410451710058,19.53316643254372,2.716240001445187e-4,0.12430193306613538
SLC4A1,7.180545621260377,8.85277933952668,19.392602967169644,3.1068317156039774e-4,0.1295549155410344
GYPA,5.3964977268746,7.526547219522417,19.34218949413713,3.2346824564579406e-4,0.1295549155410344
THRB,-3.9020051465926975,3.910176736044887,17.450657773597843,3.315604576695529e-4,0.1295549155410344
SAMD13,-4.080436809054294,2.993374303988104,17.00861633673115,3.3456395201682e-4,0.1295549155410344
CYP7B1,-6.365834943974106,2.568152014796674,21.255883179822327,3.44136064428747e-4,0.1295549155410344
SLC2A14,-4.645943247022474,2.57068741262996,18.148876573864417,3.538784909615799e-4,0.1295549155410344
SLC40A1,-2.218916488947322,7.9830380357135535,18.395303604207356,4.2765161486778085e-4,0.15075996497782737
NPR3,-2.9701246027697805,6.844344489296567,18.300882103441545,4.4141675116364656e-4,0.15075996497782737
ADGRG6,-3.1406752596243055,5.021195802927194,17.83840106211107,4.608894108086013e-4,0.15075996497782737
LAPTM4B,-2.390962067418039,6.771408415136269,17.97819644898007,4.7973159938829025e-4,0.15075996497782737
ST3GAL5,3.077094109071228,7.1115777669275655,17.952925434843397,4.8043328546152757e-4,0.15075996497782737
ANGPT1,-2.6850594492027624,5.537369378148037,17.748650601393503,5.043728569450169e-4,0.1534163749252246
NUDT11,-4.5914852757809514,2.4946851392880793,16.801271777979004,5.168356434702095e-4,0.1534163749252246
HBA2,6.981773307696708,11.704795063554815,17.25915332930092,5.775511600030532e-4,0.1669274839556193
FAM178B,-3.9024478974718755,4.473873948281158,16.035348569682007,6.00408772743743e-4,0.16908434746268025
AVP,-4.18398820093691,4.696178300509436,15.820689663893635,6.401043572934706e-4,0.17575665390385467
FERMT1,-3.491801335103528,3.9568518665595294,15.372559394895209,7.059094934955329e-4,0.18909765773320578
IGF1R,-2.427519202630944,5.760868231914057,16.30129147523061,7.541749553306143e-4,0.1924848795640488
LZTS3,-4.627386629715667,2.4753703123255892,15.569926719952084,7.545662364920818e-4,0.1924848795640488
DNM3,-4.870365838708016,2.5511984243946473,15.642640863907225,7.755562034011045e-4,0.1924848795640488
HBG1,6.479655908613087,6.0898026954011435,15.72913311444354,7.88656977181298e-4,0.1924848795640488
CD151,-4.042726803615818,2.5160830562373504,14.715116641988585,8.102192557709956e-4,0.1934486540463662
VPREB1,3.5276855364150332,7.655598067822495,15.858556661129176,8.501704178805682e-4,0.19866854679962298
PRKG2,-3.4281759746994296,6.216720080568175,15.75833351584881,8.746176909075926e-4,0.20012346040079354
COL6A5,-8.330122355451085,2.0622582240848675,17.995709212079536,9.135901850965357e-4,0.2040889788231478
DYNLT5,-3.247047593427489,4.883550057421574,15.17643835483432,9.484646410887145e-4,0.2040889788231478
SASH3,2.8160453149077487,7.07877941241937,15.287964256777478,0.0010006706946362807,0.2040889788231478
B3GNT7,3.152423716104278,5.270677740820136,15.159307507467151,0.0010142241752269965,0.2040889788231478
HBG2,5.694285325978411,9.706281375332352,15.191970385132857,0.0010272781333836162,0.2040889788231478
