NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CD79A	2	3.608928918838501	0.12990382	Yes	
row_1	IGHM	70	2.216641664505005	0.20368665	Yes	
row_2	IGHD	77	2.1953160762786865	0.28227058	Yes	
row_3	BLNK	81	2.1470155715942383	0.35938737	Yes	
row_4	SH3KBP1	163	1.8248710632324219	0.41777024	Yes	
row_5	PIK3AP1	212	1.6980860233306885	0.47459623	Yes	
row_6	PLCG2	259	1.6108773946762085	0.52846134	Yes	
row_7	IGKC	560	1.2245357036590576	0.54520833	Yes	
row_8	IGLC2	606	1.1782571077346802	0.5835706	Yes	
row_9	CD22	626	1.1564006805419922	0.62351906	Yes	
row_10	IGLC3	769	1.0484424829483032	0.6483453	Yes	
row_11	CD79B	1013	0.9021759629249573	0.6586771	Yes	
row_12	SYK	1263	0.7765043377876282	0.6639312	Yes	
row_13	PIK3CD	1526	0.6713962554931641	0.6642096	Yes	
row_14	DAPP1	1535	0.6679385304450989	0.6875555	Yes	
row_15	CALM1	2623	0.38321825861930847	0.60211754	No	
row_16	CD19	2699	0.3700672686100006	0.60860884	No	
row_17	ITPR1	2740	0.3631466329097748	0.6180464	No	
row_18	PIK3R1	3345	0.27367913722991943	0.57276165	No	
row_19	PTPN6	3731	0.2247578650712967	0.5457098	No	
row_20	STIM1	3923	0.19916534423828125	0.5354491	No	
row_21	BTK	4328	0.15185706317424774	0.5040347	No	
row_22	FYN	5451	0.037116698920726776	0.40292552	No	
row_23	ORAI2	6122	-0.015500915236771107	0.34230822	No	
row_24	VAV1	6178	-0.02020328864455223	0.33801454	No	
row_25	NCK1	6830	-0.07343447953462601	0.28122035	No	
row_26	ITPR2	7131	-0.10387761890888214	0.25757244	No	
row_27	LYN	8248	-0.24335528910160065	0.16444515	No	
row_28	ORAI1	9829	-0.629898190498352	0.04288439	No	
row_29	AHCYL1	10019	-0.7122592329978943	0.051301166	No	
row_30	SOS1	10443	-1.0136170387268066	0.04921464	No	
