NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MARCHF8	111	1.9964125156402588	0.051453467	Yes	
row_1	CALR	144	1.888327717781067	0.10680232	Yes	
row_2	PSMB10	153	1.854620337486267	0.16330768	Yes	
row_3	HLA-F	240	1.6526665687561035	0.20644073	Yes	
row_4	CD74	263	1.6003787517547607	0.25381818	Yes	
row_5	TAPBP	346	1.454121708869934	0.29118982	Yes	
row_6	HLA-DMB	642	1.1376426219940186	0.29929766	Yes	
row_7	MPEG1	655	1.1235712766647339	0.33287513	Yes	
row_8	FCGR2B	673	1.1078691482543945	0.36551034	Yes	
row_9	CD1C	678	1.1064902544021606	0.39929292	Yes	
row_10	LGMN	781	1.0406132936477661	0.4220721	Yes	
row_11	PDIA3	799	1.0284875631332397	0.45225742	Yes	
row_12	MARCHF1	839	1.001452088356018	0.47959465	Yes	
row_13	TAPBPL	929	0.9454420804977417	0.50062656	Yes	
row_14	HLA-E	981	0.9112898111343384	0.5240828	Yes	
row_15	FCER1G	1380	0.7287787795066833	0.5101443	Yes	
row_16	MR1	1562	0.6582921147346497	0.5138931	Yes	
row_17	WDFY4	1619	0.6354548931121826	0.5283788	Yes	
row_18	CTSV	1680	0.6128394603729248	0.5418003	Yes	
row_19	RAB6A	1802	0.5755561590194702	0.5484878	Yes	
row_20	DNM2	2054	0.5094822645187378	0.54123664	Yes	
row_21	CTSH	2058	0.5088707804679871	0.5566669	Yes	
row_22	HLA-DRA	2189	0.47577208280563354	0.559451	Yes	
row_23	CD1D	2203	0.4728117883205414	0.572853	Yes	
row_24	B2M	2222	0.4676680564880371	0.5856387	Yes	
row_25	CTSL	2712	0.3684929311275482	0.55225146	No	
row_26	ERAP1	2853	0.3429149091243744	0.5500199	No	
row_27	HLA-B	2941	0.32763007283210754	0.55216795	No	
row_28	HLA-DRB1	3153	0.2975674569606781	0.542038	No	
row_29	CTSS	3558	0.24657946825027466	0.51266855	No	
row_30	HLA-DPA1	3814	0.21217097342014313	0.4958757	No	
row_31	HLA-DRB5	3839	0.2092004269361496	0.50013524	No	
row_32	HLA-DQB1	3965	0.19467221200466156	0.49470162	No	
row_33	HLA-DMA	4035	0.1861538589000702	0.49413094	No	
row_34	ERAP2	4274	0.15738818049430847	0.4772034	No	
row_35	IKBKB	4675	0.11502451449632645	0.44414002	No	
row_36	SAR1B	5027	0.07899004966020584	0.4144497	No	
row_37	HLA-DQA1	5416	0.04075741022825241	0.38019267	No	
row_38	IDE	5545	0.02822565659880638	0.36934754	No	
row_39	RAB27A	5648	0.019890042021870613	0.360625	No	
row_40	RAB33A	5703	0.016051508486270905	0.3561776	No	
row_41	RAB34	5704	0.015930606052279472	0.35666925	No	
row_42	RAB5B	6003	-0.008177022449672222	0.3296447	No	
row_43	MFSD6	6108	-0.01429770514369011	0.32056653	No	
row_44	HLA-A	6135	-0.016064906492829323	0.31868246	No	
row_45	CTSD	6233	-0.024786747992038727	0.31056872	No	
row_46	RAB35	6973	-0.08766768872737885	0.2456313	No	
row_47	PIKFYVE	7159	-0.1065295860171318	0.2319854	No	
row_48	RFTN1	7174	-0.10812794417142868	0.234041	No	
row_49	RAB10	7505	-0.14295364916324615	0.20824692	No	
row_50	RAB8B	7946	-0.19991442561149597	0.1741421	No	
row_51	HLA-DPB1	7970	-0.20256900787353516	0.17828856	No	
row_52	ARL8B	8070	-0.21565203368663788	0.17588226	No	
row_53	RAB4A	8980	-0.37177667021751404	0.10415245	No	
row_54	RAB32	9291	-0.4370812773704529	0.08926644	No	
row_55	LNPEP	9605	-0.53142249584198	0.07701741	No	
row_56	SLC11A1	10117	-0.7682290077209473	0.053953182	No	
row_57	CTSF	10201	-0.8143107295036316	0.07148734	No	
