NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CD79A	2	3.608928918838501	0.08254439	Yes	
row_1	MS4A1	3	3.5660319328308105	0.1642884	Yes	
row_2	POU2AF1	39	2.4392707347869873	0.21700183	Yes	
row_3	RAG2	69	2.2279911041259766	0.26542097	Yes	
row_4	BLNK	81	2.1470155715942383	0.31363064	Yes	
row_5	RAG1	127	1.9349108934402466	0.3538678	Yes	
row_6	HDAC9	159	1.8315032720565796	0.3930153	Yes	
row_7	C17orf99	210	1.7021398544311523	0.42745924	Yes	
row_8	PAX5	257	1.6183016300201416	0.4603473	Yes	
row_9	PLCG2	259	1.6108773946762085	0.49718192	Yes	
row_10	GPR183	382	1.4140433073043823	0.51843506	Yes	
row_11	PTPRJ	452	1.3143508434295654	0.5422515	Yes	
row_12	TCF3	485	1.2829720973968506	0.56873363	Yes	
row_13	FCGR2B	673	1.1078691482543945	0.57702196	Yes	
row_14	ITGA4	692	1.0953710079193115	0.60048443	Yes	
row_15	KLF6	721	1.0769033432006836	0.6226087	Yes	
row_16	DOCK10	745	1.0633063316345215	0.64487875	Yes	
row_17	LRRC8A	762	1.0526949167251587	0.6675459	Yes	
row_18	CD79B	1013	0.9021759629249573	0.66535574	Yes	
row_19	PTK2B	1100	0.8574638962745667	0.6771438	Yes	
row_20	ADAM17	1210	0.7981898784637451	0.68546903	Yes	
row_21	PIK3CD	1526	0.6713962554931641	0.6720423	No	
row_22	HDAC5	2284	0.45501795411109924	0.6132201	No	
row_23	FLT3	2336	0.44125112891197205	0.6186692	No	
row_24	TOP2B	2546	0.39759838581085205	0.60866344	No	
row_25	ADGRG3	2757	0.361173540353775	0.5977312	No	
row_26	CEBPG	2834	0.34653526544570923	0.5987221	No	
row_27	SYVN1	2856	0.3421989381313324	0.6046452	No	
row_28	ATM	3278	0.28209277987480164	0.57259727	No	
row_29	PIK3R1	3345	0.27367913722991943	0.57283294	No	
row_30	DNAJB9	3764	0.2185046672821045	0.5396018	No	
row_31	SLC25A5	4311	0.1538047045469284	0.4931778	No	
row_32	PTPN2	5139	0.06671053916215897	0.41905063	No	
row_33	IRF2BP2	5304	0.05067524313926697	0.40520903	No	
row_34	DOCK11	5343	0.047764431685209274	0.4028276	No	
row_35	ITGB1	5551	0.028037838637828827	0.38453335	No	
row_36	ZBTB7A	5621	0.02189287170767784	0.37872288	No	
row_37	PTPRC	5995	-0.007582929916679859	0.34477356	No	
row_38	HHEX	6169	-0.01934939995408058	0.32939056	No	
row_39	LFNG	6382	-0.03515048325061798	0.31080192	No	
row_40	MSH2	6789	-0.06936448067426682	0.2752499	No	
row_41	TPD52	6928	-0.08298351615667343	0.26452747	No	
row_42	PHF14	6986	-0.08842692524194717	0.26133996	No	
row_43	DCAF1	7050	-0.09570419788360596	0.25777036	No	
row_44	LYL1	7560	-0.14973890781402588	0.214638	No	
row_45	JAK3	8083	-0.2180027812719345	0.17188117	No	
row_46	RABL3	8569	-0.2934175133705139	0.13423795	No	
row_47	MFNG	9199	-0.41625845432281494	0.08623706	No	
row_48	FNIP1	9224	-0.4227825999259949	0.0937329	No	
row_49	NOTCH2	9322	-0.4437467157840729	0.095031045	No	
row_50	HDAC4	10070	-0.7402200698852539	0.04366133	No	
row_51	KIT	10788	-1.7310009002685547	0.017747737	No	
