NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CD79A	2	3.608928918838501	0.09494821	Yes	
row_1	MS4A1	3	3.5660319328308105	0.18894832	Yes	
row_2	LAT2	18	2.906552791595459	0.2642861	Yes	
row_3	IGHM	70	2.216641664505005	0.31805894	Yes	
row_4	IGHD	77	2.1953160762786865	0.3753792	Yes	
row_5	BLNK	81	2.1470155715942383	0.43170026	Yes	
row_6	IGHG1	173	1.8084968328475952	0.47106147	Yes	
row_7	IGHG3	191	1.7510159015655518	0.5156655	Yes	
row_8	CD38	195	1.73587965965271	0.56114906	Yes	
row_9	LCK	233	1.660370945930481	0.6015372	Yes	
row_10	IGHA1	237	1.655647873878479	0.64490587	Yes	
row_11	PLCG2	259	1.6108773946762085	0.68545055	Yes	
row_12	IGKC	560	1.2245357036590576	0.69033194	Yes	
row_13	IGLC3	769	1.0484424829483032	0.6989733	Yes	
row_14	CD79B	1013	0.9021759629249573	0.7005627	Yes	
row_15	BANK1	1065	0.8730691075325012	0.71891916	Yes	
row_16	SYK	1263	0.7765043377876282	0.72139686	Yes	
row_17	PRKCB	1517	0.6762027740478516	0.7161164	Yes	
row_18	PIK3CD	1526	0.6713962554931641	0.7330837	Yes	
row_19	BAX	1578	0.6533882021903992	0.74564946	Yes	
row_20	BCL2	2339	0.441181480884552	0.6878725	No	
row_21	CD19	2699	0.3700672686100006	0.66484207	No	
row_22	MEF2C	3142	0.2995600402355194	0.6323731	No	
row_23	NCKAP1L	4127	0.17400608956813812	0.54709685	No	
row_24	BTK	4328	0.15185706317424774	0.53283495	No	
row_25	MNDA	5630	0.021374335512518883	0.4145856	No	
row_26	PTPRC	5995	-0.007582929916679859	0.38154346	No	
row_27	VAV3	6916	-0.08165528625249863	0.2996776	No	
row_28	RFTN1	7174	-0.10812794417142868	0.27905753	No	
row_29	IGHG2	7317	-0.12221653014421463	0.26931113	No	
row_30	PLEKHA1	8758	-0.3266163468360901	0.14641382	No	
row_31	TEC	9889	-0.6530697345733643	0.0604323	No	
row_32	NFATC2	10708	-1.490660548210144	0.025022702	No	
