NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	HBA2	7	3.2384095191955566	0.15330413	Yes	
row_1	HBB	36	2.4547717571258545	0.2674415	Yes	
row_2	CALR	144	1.888327717781067	0.34744677	Yes	
row_3	JCHAIN	184	1.791591763496399	0.42905563	Yes	
row_4	IGHA1	237	1.655647873878479	0.50301653	Yes	
row_5	HYOU1	368	1.4252769947052002	0.55891216	Yes	
row_6	STAB1	429	1.3472415208816528	0.61748284	Yes	
row_7	IGKC	560	1.2245357036590576	0.66383594	Yes	
row_8	IGLC2	606	1.1782571077346802	0.7157418	Yes	
row_9	LRP1	681	1.1029245853424072	0.7614216	Yes	
row_10	IGLC3	769	1.0484424829483032	0.80332583	Yes	
row_11	HSP90B1	1466	0.6925395131111145	0.77276623	No	
row_12	FTH1	1616	0.6360985040664673	0.78941417	No	
row_13	APOL1	6686	-0.05970771238207817	0.3299212	No	
row_14	HSPH1	7306	-0.12143082916736603	0.27923608	No	
row_15	FTL	7628	-0.15963229537010193	0.25754678	No	
row_16	HSP90AA1	7915	-0.19662831723690033	0.24080844	No	
row_17	CD36	8573	-0.29359501600265503	0.19484152	No	
row_18	SPARC	9569	-0.5214158892631531	0.12887624	No	
