NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ST3GAL5	6	3.3183670043945312	0.13976519	Yes	
row_1	SMPD3	98	2.071341037750244	0.2190381	Yes	
row_2	GBA2	135	1.911786437034607	0.29658774	Yes	
row_3	PSAP	386	1.4097365140914917	0.33336362	Yes	
row_4	ST3GAL2	442	1.331779956817627	0.38465303	Yes	
row_5	SMPD4	457	1.3098315000534058	0.43875906	Yes	
row_6	SUMF2	469	1.2962850332260132	0.49256626	Yes	
row_7	UGCG	587	1.1996023654937744	0.5326041	Yes	
row_8	M6PR	590	1.1948310136795044	0.58294344	Yes	
row_9	A4GALT	669	1.1106497049331665	0.622782	Yes	
row_10	CTSA	1000	0.9067829847335815	0.6309845	Yes	
row_11	ARSA	1381	0.7287077903747559	0.62709063	Yes	
row_12	B3GNT5	1426	0.7095761299133301	0.6530756	Yes	
row_13	HEXB	1745	0.5926390290260315	0.6490909	No	
row_14	CERK	2608	0.38585323095321655	0.58667755	No	
row_15	ST6GALNAC6	2968	0.32400593161582947	0.5675894	No	
row_16	SUMF1	3616	0.2389262318611145	0.5185999	No	
row_17	SMPD2	4078	0.18011967837810516	0.4841118	No	
row_18	NEU3	4845	0.09730900079011917	0.41826564	No	
row_19	GM2A	5757	0.011826476082205772	0.33556178	No	
row_20	ARSK	5817	0.006698128767311573	0.33045638	No	
row_21	ARSB	6573	-0.05065147951245308	0.26364204	No	
row_22	B4GALT6	6575	-0.05085373297333717	0.265701	No	
row_23	HEXA	6964	-0.08635547012090683	0.23391542	No	
row_24	B4GALT5	7018	-0.09195658564567566	0.23296307	No	
row_25	ARSD	7775	-0.17886735498905182	0.17147885	No	
row_26	GLA	7798	-0.181815505027771	0.17715739	No	
row_27	GLB1	8043	-0.21150237321853638	0.16381538	No	
row_28	GLB1L	8396	-0.2661776840686798	0.14292133	No	
row_29	ST3GAL3	8468	-0.2758154273033142	0.14809924	No	
row_30	GALC	8475	-0.27723801136016846	0.15927392	No	
row_31	ASAH1	8656	-0.3076615333557129	0.15584317	No	
row_32	B3GALNT1	9801	-0.6194085478782654	0.07754968	No	
row_33	SMPD1	10022	-0.7147594094276428	0.08767927	No	
