NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CD79A	2	3.608928918838501	0.035794634	Yes	
row_1	MS4A1	3	3.5660319328308105	0.07134621	Yes	
row_2	LAT2	18	2.906552791595459	0.099030875	Yes	
row_3	CD3E	40	2.4385714530944824	0.12140388	Yes	
row_4	FYB1	56	2.278139591217041	0.14273128	Yes	
row_5	IGHM	70	2.216641664505005	0.16363017	Yes	
row_6	IGHD	77	2.1953160762786865	0.18496257	Yes	
row_7	BLNK	81	2.1470155715942383	0.20609036	Yes	
row_8	IGHG1	173	1.8084968328475952	0.21572068	Yes	
row_9	IGHG3	191	1.7510159015655518	0.23160832	Yes	
row_10	THEMIS2	192	1.741770625114441	0.24897291	Yes	
row_11	CD38	195	1.73587965965271	0.26609418	Yes	
row_12	PIK3AP1	212	1.6980860233306885	0.2815464	Yes	
row_13	LCK	233	1.660370945930481	0.29625344	Yes	
row_14	IGHA1	237	1.655647873878479	0.31248254	Yes	
row_15	PRKCE	250	1.6335530281066895	0.32766062	Yes	
row_16	PLCG2	259	1.6108773946762085	0.34298187	Yes	
row_17	TRAC	271	1.5883069038391113	0.35780117	Yes	
row_18	ZAP70	304	1.523972511291504	0.37004077	Yes	
row_19	OAS1	305	1.5228304862976074	0.38522264	Yes	
row_20	INPP5D	340	1.4691325426101685	0.3967309	Yes	
row_21	CD3D	420	1.362239956855774	0.40301988	Yes	
row_22	WNK1	441	1.3333543539047241	0.41446674	Yes	
row_23	PTPRJ	452	1.3143508434295654	0.42664713	Yes	
row_24	TRDC	557	1.2256784439086914	0.42926714	Yes	
row_25	IGKC	560	1.2245357036590576	0.44129056	Yes	
row_26	PRKCD	656	1.1233307123184204	0.4437209	Yes	
row_27	FCN1	685	1.1010615825653076	0.45211348	Yes	
row_28	CMKLR1	701	1.088819146156311	0.46158394	Yes	
row_29	ERMAP	756	1.0569881200790405	0.46713728	Yes	
row_30	IGLC3	769	1.0484424829483032	0.47648212	Yes	
row_31	LY96	792	1.0368692874908447	0.48478854	Yes	
row_32	PDE4B	830	1.0062949657440186	0.49140564	Yes	
row_33	CLEC7A	879	0.9778547883033752	0.49672386	Yes	
row_34	CD4	895	0.971882164478302	0.50502855	Yes	
row_35	SRC	917	0.9533431529998779	0.5125945	Yes	
row_36	HCK	919	0.9519845247268677	0.52199304	Yes	
row_37	MYD88	974	0.9159386157989502	0.5261402	Yes	
row_38	PLD2	986	0.9100176692008972	0.53419733	Yes	
row_39	CD79B	1013	0.9021759629249573	0.5407917	Yes	
row_40	BANK1	1065	0.8730691075325012	0.54478836	Yes	
row_41	RBCK1	1166	0.822242021560669	0.54375553	Yes	
row_42	BAG6	1168	0.82081538438797	0.5518463	Yes	
row_43	SYK	1263	0.7765043377876282	0.5509113	Yes	
row_44	FCER1G	1380	0.7287787795066833	0.54746985	Yes	
row_45	MYO1G	1403	0.7195502519607544	0.5526128	Yes	
row_46	AKT1	1408	0.7165042161941528	0.55938673	Yes	
row_47	BTN2A2	1454	0.6978005766868591	0.5621899	Yes	
row_48	PRKCB	1517	0.6762027740478516	0.5632086	Yes	
row_49	PIK3CD	1526	0.6713962554931641	0.5691636	Yes	
row_50	BAX	1578	0.6533882021903992	0.5709702	Yes	
row_51	IRF3	1781	0.5812711119651794	0.5581202	No	
row_52	TNFRSF21	2004	0.5229830145835876	0.542843	No	
row_53	TRAF3	2109	0.4931483566761017	0.53816	No	
row_54	TYROBP	2159	0.483815997838974	0.5384606	No	
row_55	GPLD1	2235	0.46497100591659546	0.5361735	No	
row_56	BCL2	2339	0.441181480884552	0.53106475	No	
row_57	NFKBID	2421	0.42492392659187317	0.5278246	No	
row_58	ICOSLG	2453	0.4160938560962677	0.5291115	No	
row_59	PAK1	2562	0.3941839337348938	0.52307266	No	
row_60	CD19	2699	0.3700672686100006	0.514209	No	
row_61	PLCG1	2756	0.36122915148735046	0.5126414	No	
row_62	BTN3A3	2765	0.35994118452072144	0.51549137	No	
row_63	EP300	2769	0.3589429259300232	0.518793	No	
row_64	ECSIT	2930	0.32849937677383423	0.5072996	No	
row_65	TRGC1	2992	0.32057198882102966	0.5048651	No	
row_66	SLA2	3032	0.31331777572631836	0.504389	No	
row_67	UBE2N	3051	0.3116278052330017	0.50583434	No	
row_68	FCHO1	3063	0.3097972273826599	0.5079075	No	
row_69	PRKD2	3078	0.3080334961414337	0.50968623	No	
row_70	MEF2C	3142	0.2995600402355194	0.5068577	No	
row_71	HLA-DRB1	3153	0.2975674569606781	0.50890124	No	
row_72	PDE4D	3256	0.2848495841026306	0.50232625	No	
row_73	IRAK1	3340	0.27473342418670654	0.49740416	No	
row_74	PIK3CA	3536	0.24929401278495789	0.4818906	No	
row_75	MALT1	3590	0.24153849482536316	0.4794066	No	
row_76	BTN3A1	3703	0.22812287509441376	0.47134304	No	
row_77	BCL10	3739	0.2234145700931549	0.4703398	No	
row_78	CSK	3945	0.19702516496181488	0.45338213	No	
row_79	HLA-DQB1	3965	0.19467221200466156	0.4535692	No	
row_80	EIF2B4	4091	0.17860017716884613	0.44381198	No	
row_81	TRGC2	4098	0.17733712494373322	0.44502616	No	
row_82	TRBC2	4101	0.17719773948192596	0.44660813	No	
row_83	NCKAP1L	4127	0.17400608956813812	0.44603533	No	
row_84	SLC39A6	4304	0.15483197569847107	0.43133378	No	
row_85	BTK	4328	0.15185706317424774	0.43072477	No	
row_86	ITGAM	4341	0.15029318630695343	0.43111548	No	
row_87	TLR4	4461	0.135757178068161	0.42148498	No	
row_88	FGR	4462	0.13546723127365112	0.42283553	No	
row_89	IKBKB	4675	0.11502451449632645	0.40441424	No	
row_90	DENND1B	4814	0.10116404294967651	0.39268512	No	
row_91	GATA3	5067	0.07378789782524109	0.37016064	No	
row_92	STOML2	5164	0.06427301466464996	0.3619404	No	
row_93	TRAF6	5231	0.058691930025815964	0.3564336	No	
row_94	LILRA2	5241	0.057850275188684464	0.35617962	No	
