NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CD96	16	2.946770668029785	0.060352117	Yes	
row_1	CD3E	40	2.4385714530944824	0.10940278	Yes	
row_2	ITGAL	66	2.2370948791503906	0.15404391	Yes	
row_3	ITGB2	124	1.9513965845108032	0.18976322	Yes	
row_4	HLA-F	240	1.6526665687561035	0.21390793	Yes	
row_5	TRAC	271	1.5883069038391113	0.24448141	Yes	
row_6	LILRB4	302	1.5303823947906494	0.27383977	Yes	
row_7	CD3D	420	1.362239956855774	0.29170898	Yes	
row_8	ICAM3	427	1.3487279415130615	0.31945303	Yes	
row_9	LAIR1	526	1.247498869895935	0.33665404	Yes	
row_10	IGKC	560	1.2245357036590576	0.35932192	Yes	
row_11	SLAMF7	583	1.2018539905548096	0.38252065	Yes	
row_12	IGLC2	606	1.1782571077346802	0.40522438	Yes	
row_13	JAML	625	1.1591321229934692	0.42789295	Yes	
row_14	CD22	626	1.1564006805419922	0.45215157	Yes	
row_15	FCGR2B	673	1.1078691482543945	0.47118232	Yes	
row_16	CD1C	678	1.1064902544021606	0.49402782	Yes	
row_17	ITGA4	692	1.0953710079193115	0.51581645	Yes	
row_18	IGLC3	769	1.0484424829483032	0.53085506	Yes	
row_19	SIGLEC1	829	1.0082732439041138	0.54660684	Yes	
row_20	TREM1	848	0.9967121481895447	0.56586826	Yes	
row_21	HLA-E	981	0.9112898111343384	0.5729048	Yes	
row_22	CD300LB	984	0.9107215404510498	0.59182656	Yes	
row_23	CLEC2D	1284	0.7680017352104187	0.58057404	Yes	
row_24	SLAMF6	1435	0.7048822045326233	0.5816334	Yes	
row_25	ICAM1	1440	0.7031678557395935	0.59601814	Yes	
row_26	CD33	1868	0.5558451414108276	0.56860095	No	
row_27	IFITM1	1986	0.5268344283103943	0.5689453	No	
row_28	KLRB1	2070	0.5046118497848511	0.571935	No	
row_29	TYROBP	2159	0.483815997838974	0.5740309	No	
row_30	CD1D	2203	0.4728117883205414	0.58001417	No	
row_31	B2M	2222	0.4676680564880371	0.58817744	No	
row_32	LILRB2	2279	0.4553852677345276	0.5926055	No	
row_33	CD200	2424	0.4237174391746521	0.5883157	No	
row_34	CLEC2B	2451	0.4163486063480377	0.5946703	No	
row_35	CD19	2699	0.3700672686100006	0.5798289	No	
row_36	ICAM2	2892	0.3346160352230072	0.5692772	No	
row_37	HLA-B	2941	0.32763007283210754	0.5717573	No	
row_38	PILRB	3341	0.27464786171913147	0.54100376	No	
row_39	PVR	4694	0.11250588297843933	0.41963366	No	
row_40	CD300A	5046	0.07601790875196457	0.38910607	No	
row_41	LILRA2	5241	0.057850275188684464	0.37256545	No	
row_42	SIGLEC10	5439	0.038238681852817535	0.35533887	No	
row_43	SELL	5548	0.028102638199925423	0.34604463	No	
row_44	ITGB1	5551	0.028037838637828827	0.34644976	No	
row_45	CD81	6095	-0.01335726398974657	0.29703653	No	
row_46	HLA-A	6135	-0.016064906492829323	0.2938044	No	
row_47	NECTIN2	6475	-0.042479775846004486	0.26367146	No	
row_48	HCST	6544	-0.04847552627325058	0.25846523	No	
row_49	KLRG1	7563	-0.15014798939228058	0.16845128	No	
row_50	MICA	8098	-0.22031208872795105	0.12420314	No	
row_51	CD300LF	8587	-0.2955109775066376	0.08574225	No	
row_52	NPDC1	8938	-0.36242443323135376	0.061314322	No	
row_53	CDH1	10035	-0.7224372029304504	-0.023832632	No	
row_54	CXADR	10912	-2.5967206954956055	-0.049527876	No	
row_55	CD40LG	10918	-2.661996364593506	0.005857019	No	
