NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CD79A	2	3.608928918838501	0.032999333	Yes	
row_1	MS4A1	3	3.5660319328308105	0.06578879	Yes	
row_2	POU2AF1	39	2.4392707347869873	0.084988065	Yes	
row_3	CD3E	40	2.4385714530944824	0.10741058	Yes	
row_4	IRF4	45	2.3742663860321045	0.12887272	Yes	
row_5	RAG2	69	2.2279911041259766	0.1472366	Yes	
row_6	BLNK	81	2.1470155715942383	0.16596325	Yes	
row_7	TCF7	86	2.115771770477295	0.18504854	Yes	
row_8	LY9	115	1.9829169511795044	0.2006976	Yes	
row_9	RAG1	127	1.9349108934402466	0.21747395	Yes	
row_10	HDAC9	159	1.8315032720565796	0.23145394	Yes	
row_11	RSAD2	201	1.7162965536117554	0.24345186	Yes	
row_12	C17orf99	210	1.7021398544311523	0.2583647	Yes	
row_13	CCR7	230	1.6638342142105103	0.2719103	Yes	
row_14	LCK	233	1.660370945930481	0.2869928	Yes	
row_15	PAX5	257	1.6183016300201416	0.29975063	Yes	
row_16	PLCG2	259	1.6108773946762085	0.31447026	Yes	
row_17	CD74	263	1.6003787517547607	0.32890883	Yes	
row_18	IRF8	294	1.5509732961654663	0.34040162	Yes	
row_19	ZAP70	304	1.523972511291504	0.353584	Yes	
row_20	GPR183	382	1.4140433073043823	0.35948074	Yes	
row_21	UCP2	410	1.3734614849090576	0.36961818	Yes	
row_22	CD3D	420	1.362239956855774	0.3813134	Yes	
row_23	PTPRJ	452	1.3143508434295654	0.39053822	Yes	
row_24	TCF3	485	1.2829720973968506	0.3993822	Yes	
row_25	RXRA	507	1.2661738395690918	0.4090868	Yes	
row_26	FCGR2B	673	1.1078691482543945	0.40404797	Yes	
row_27	APP	687	1.0988472700119019	0.4129522	Yes	
row_28	ITGA4	692	1.0953710079193115	0.422655	Yes	
row_29	KLF6	721	1.0769033432006836	0.4299733	Yes	
row_30	DOCK10	745	1.0633063316345215	0.437628	Yes	
row_31	LRRC8A	762	1.0526949167251587	0.44583103	Yes	
row_32	MYH9	782	1.0403687953948975	0.45364392	Yes	
row_33	CD4	895	0.971882164478302	0.45224535	Yes	
row_34	IL2RG	926	0.9482471346855164	0.45819613	Yes	
row_35	CD79B	1013	0.9021759629249573	0.45855582	Yes	
row_36	THOC5	1046	0.8855782747268677	0.4637458	Yes	
row_37	CHD7	1085	0.863643229007721	0.46818045	Yes	
row_38	PTK2B	1100	0.8574638962745667	0.4747729	Yes	
row_39	IFI16	1180	0.8132838010787964	0.47496116	Yes	
row_40	LEF1	1199	0.8008328080177307	0.4806638	Yes	
row_41	RELB	1205	0.7992311716079712	0.4875513	Yes	
row_42	ADAM17	1210	0.7981898784637451	0.4945215	Yes	
row_43	NRROS	1212	0.7979122400283813	0.50176597	Yes	
row_44	TRPM2	1236	0.7873486280441284	0.50688326	Yes	
row_45	FCER1G	1380	0.7287787795066833	0.5003888	Yes	
row_46	SLAMF6	1435	0.7048822045326233	0.5018872	Yes	
row_47	GAS6	1450	0.6997365951538086	0.50702935	Yes	
row_48	PIK3CD	1526	0.6713962554931641	0.5062821	Yes	
row_49	NFATC3	1553	0.6615697741508484	0.509966	Yes	
row_50	AXL	1556	0.6604393124580383	0.5158541	Yes	
row_51	MR1	1562	0.6582921147346497	0.5214457	Yes	
row_52	LIG4	1587	0.6505666971206665	0.525213	Yes	
row_53	SOCS3	1855	0.559839129447937	0.5057229	No	
row_54	PRTN3	1959	0.5326906442642212	0.50111645	No	
row_55	CD1D	2203	0.4728117883205414	0.48304075	No	
row_56	HMGB1	2226	0.46694138646125793	0.48530418	No	
row_57	HDAC5	2284	0.45501795411109924	0.48422828	No	
row_58	PTCRA	2308	0.4486871063709259	0.48623157	No	
row_59	TOX	2309	0.4484545886516571	0.4903551	No	
row_60	FLT3	2336	0.44125112891197205	0.4920132	No	
row_61	TGFB1	2377	0.43485623598098755	0.4923206	No	
row_62	ICOSLG	2453	0.4160938560962677	0.48922583	No	
row_63	TOP2B	2546	0.39759838581085205	0.4843923	No	
row_64	JAK1	2587	0.3890037536621094	0.48427808	No	
row_65	RHOH	2614	0.3847983479499817	0.4854171	No	
row_66	SPI1	2649	0.3787456452846527	0.48576224	No	
row_67	LMBR1L	2679	0.37375396490097046	0.48652288	No	
row_68	CTSL	2712	0.3684929311275482	0.4869583	No	
row_69	ADGRG3	2757	0.361173540353775	0.4862191	No	
