NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	HBM	0	4.194972038269043	0.1235996	Yes	
row_1	HBA2	7	3.2384095191955566	0.21846734	Yes	
row_2	HBG1	8	3.103111743927002	0.30989665	Yes	
row_3	HBG2	12	2.988312005996704	0.39766952	Yes	
row_4	ALAS2	26	2.617058277130127	0.47359067	Yes	
row_5	HBB	36	2.4547717571258545	0.5450955	Yes	
row_6	DMTN	80	2.1525769233703613	0.60459155	Yes	
row_7	ANXA2	278	1.5804356336593628	0.63316625	Yes	
row_8	HBD	430	1.3470706939697266	0.659066	Yes	
row_9	APP	687	1.0988472700119019	0.6680632	Yes	
row_10	NRROS	1212	0.7979122400283813	0.64371884	No	
row_11	SH2B3	1219	0.7940168976783752	0.6665656	No	
row_12	ALAS1	2029	0.5159341096878052	0.60788566	No	
row_13	FLNA	2709	0.36868909001350403	0.55673945	No	
row_14	HBQ1	2780	0.3568737804889679	0.56086165	No	
row_15	G6PD	3908	0.20215126872062683	0.46389538	No	
row_16	ABCB10	3987	0.1920200139284134	0.46242973	No	
row_17	NCKAP1L	4127	0.17400608956813812	0.45486253	No	
row_18	HEATR3	4564	0.1260892003774643	0.41876024	No	
row_19	ATP6AP1	4855	0.09696783870458603	0.39513326	No	
row_20	ZBTB7A	5621	0.02189287170767784	0.32591528	No	
row_21	EVI2B	5624	0.021717965602874756	0.32637253	No	
row_22	P2RX5	6660	-0.05787359178066254	0.23355715	No	
row_23	ZNF385A	6937	-0.0836048424243927	0.21081498	No	
row_24	FOXP1	7114	-0.10188859701156616	0.19774394	No	
row_25	TLR2	7356	-0.1259010285139084	0.17944433	No	
row_26	NEMP1	8352	-0.2599101662635803	0.096234664	No	
row_27	LYAR	8388	-0.26479917764663696	0.10084029	No	
row_28	MED1	8566	-0.29314929246902466	0.09331319	No	
row_29	GATA1	9743	-0.5947155356407166	0.0034384723	No	
row_30	MYB	10031	-0.7213047742843628	-0.0015192325	No	
row_31	CEBPB	10611	-1.2620348930358887	-0.01721167	No	
row_32	KIT	10788	-1.7310009002685547	0.017717041	No	
