NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RPS25	1443	0.7026665806770325	-0.11894705	No	
row_1	RPL7A	2373	0.4356493651866913	-0.19584359	No	
row_2	FARSA	2560	0.39465728402137756	-0.20538114	No	
row_3	FARSB	4153	0.1705760806798935	-0.3481322	No	
row_4	RPL36A	5099	0.07143504172563553	-0.4334364	No	
row_5	RPS10	7135	-0.10404562950134277	-0.6180825	No	
row_6	RPS3	8179	-0.23130711913108826	-0.7093278	No	
row_7	RPL8	8180	-0.2313808649778366	-0.7049187	No	
row_8	RPL14	8206	-0.23593604564666748	-0.7027155	No	
row_9	RPL30	8210	-0.23676931858062744	-0.6984789	No	
row_10	RPS16	8316	-0.2549116909503937	-0.7032509	No	
row_11	RPS18	8414	-0.26829150319099426	-0.7070343	No	
row_12	RPL19	8648	-0.3067712187767029	-0.7225569	Yes	
row_13	RPS19	8708	-0.31517818570137024	-0.72196186	Yes	
row_14	RPS15	8767	-0.3287529945373535	-0.7210164	Yes	
row_15	RPL3	8796	-0.33554062247276306	-0.7171904	Yes	
row_16	RPL18	8838	-0.342781662940979	-0.71441853	Yes	
row_17	RPL35	8872	-0.3483036458492279	-0.71080786	Yes	
row_18	RPL28	8890	-0.3527940511703491	-0.7056442	Yes	
row_19	RPL23A	9006	-0.37793996930122375	-0.7089889	Yes	
row_20	UBA52	9008	-0.37816476821899414	-0.7018745	Yes	
row_21	RPL27A	9009	-0.3782815635204315	-0.69466615	Yes	
row_22	RPL36	9064	-0.3913668692111969	-0.6921607	Yes	
row_23	RPL13A	9181	-0.41308727860450745	-0.6949274	Yes	
row_24	RPS27	9248	-0.4278600811958313	-0.6928271	Yes	
row_25	RPLP2	9431	-0.48067107796669006	-0.70035875	Yes	
row_26	RPS9	9448	-0.48473241925239563	-0.6925893	Yes	
row_27	RPL26	9515	-0.5064834356307983	-0.6889908	Yes	
row_28	FAU	9554	-0.5186751484870911	-0.6825921	Yes	
row_29	RPS7	9645	-0.5477893948554993	-0.6804075	Yes	
row_30	RPL4	9709	-0.5800789594650269	-0.67513144	Yes	
row_31	RPLP1	9756	-0.6016945838928223	-0.66788447	Yes	
row_32	RACK1	9768	-0.6068978309631348	-0.6573285	Yes	
row_33	RPL24	9810	-0.6221414804458618	-0.6492333	Yes	
row_34	RPL13	9822	-0.6260712146759033	-0.638312	Yes	
row_35	RPL6	9823	-0.6266925930976868	-0.62637	Yes	
row_36	RPS12	9869	-0.6444604992866516	-0.61821634	Yes	
row_37	RPS28	9911	-0.6612013578414917	-0.60937685	Yes	
row_38	RPS29	9979	-0.6944938898086548	-0.6022874	Yes	
row_39	RPS15A	9994	-0.7010594010353088	-0.5902123	Yes	
row_40	RPL37	10002	-0.7052362561225891	-0.5774156	Yes	
row_41	RPL38	10007	-0.7069554924964905	-0.56431097	Yes	
row_42	RPL18A	10011	-0.7087425589561462	-0.5510806	Yes	
row_43	RPL37A	10032	-0.7217493653297424	-0.53916144	Yes	
row_44	RPS13	10034	-0.722403883934021	-0.52548736	Yes	
row_45	RPL10A	10056	-0.7314472198486328	-0.5134751	Yes	
row_46	RPL41	10100	-0.760421097278595	-0.5029284	Yes	
row_47	RPL23	10103	-0.760899543762207	-0.48861238	Yes	
row_48	RPL21	10124	-0.7719473838806152	-0.47573668	Yes	
row_49	RPS20	10131	-0.7755035161972046	-0.4615093	Yes	
row_50	RPS11	10153	-0.7905092239379883	-0.4483716	Yes	
row_51	RPLP0	10155	-0.7905441522598267	-0.43339902	Yes	
row_52	RPS23	10187	-0.8054326176643372	-0.42089403	Yes	
row_53	RPS21	10192	-0.8073448538780212	-0.40587646	Yes	
row_54	RPL10	10195	-0.8099228739738464	-0.39062634	Yes	
row_55	RPS14	10203	-0.8153738379478455	-0.3757309	Yes	
row_56	RPL27	10233	-0.8302063345909119	-0.3625704	Yes	
row_57	RPS4X	10234	-0.8308243751525879	-0.34673858	Yes	
row_58	RPS24	10238	-0.8329468369483948	-0.33114144	Yes	
row_59	RPL15	10266	-0.8505349159240723	-0.31741017	Yes	
row_60	RPS6	10295	-0.8663057684898376	-0.30347008	Yes	
row_61	RPL5	10298	-0.8688015937805176	-0.287098	Yes	
row_62	RPL39	10299	-0.8690515756607056	-0.27053773	Yes	
row_63	RPS26	10334	-0.8992618322372437	-0.2565199	Yes	
row_64	RPSA	10342	-0.906067967414856	-0.23989622	Yes	
row_65	RPL7	10355	-0.9206717014312744	-0.22345282	Yes	
row_66	RPL11	10419	-0.9801700711250305	-0.21055283	Yes	
row_67	RPS8	10424	-0.9836530089378357	-0.1921756	Yes	
row_68	RPL34	10429	-0.9958245754241943	-0.17356643	Yes	
row_69	RPS5	10480	-1.0516306161880493	-0.15811248	Yes	
row_70	RPL31	10484	-1.0594639778137207	-0.13819893	Yes	
row_71	RPS17	10496	-1.0684388875961304	-0.11884802	Yes	
row_72	RPL32	10501	-1.0808145999908447	-0.09861932	Yes	
row_73	RPL22	10510	-1.0957698822021484	-0.07847248	Yes	
row_74	RPL35A	10546	-1.159280776977539	-0.059591554	Yes	
row_75	RPS3A	10548	-1.1651555299758911	-0.037480567	Yes	
row_76	RPS2	10605	-1.2421635389328003	-0.018946163	Yes	
row_77	RPL29	10639	-1.3184936046600342	0.003152069	Yes	
row_78	RPL12	10701	-1.4805419445037842	0.025770359	Yes	
