NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	DNAJC3	1348	0.7410982847213745	-0.11028721	No	
row_1	RPS25	1443	0.7026665806770325	-0.10620261	No	
row_2	RPL7A	2373	0.4356493651866913	-0.18356745	No	
row_3	RPL39L	3045	0.31206759810447693	-0.23949361	No	
row_4	GRSF1	4895	0.09247095882892609	-0.40748513	No	
row_5	RPL36A	5099	0.07143504172563553	-0.42482027	No	
row_6	RPL26L1	6604	-0.0530717559158802	-0.56186724	No	
row_7	RPS27L	6728	-0.06424795836210251	-0.57199156	No	
row_8	RPS10	7135	-0.10404562950134277	-0.6073641	No	
row_9	RPL36AL	7606	-0.15650561451911926	-0.6476604	No	
row_10	RPS3	8179	-0.23130711913108826	-0.69596314	No	
row_11	RPL8	8180	-0.2313808649778366	-0.6917778	No	
row_12	RPL14	8206	-0.23593604564666748	-0.68980414	No	
row_13	RPL30	8210	-0.23676931858062744	-0.6857967	No	
row_14	RPS16	8316	-0.2549116909503937	-0.6908206	No	
row_15	RPS18	8414	-0.26829150319099426	-0.6948683	No	
row_16	RPL19	8648	-0.3067712187767029	-0.71069944	Yes	
row_17	RPS19	8708	-0.31517818570137024	-0.71041226	Yes	
row_18	RPS15	8767	-0.3287529945373535	-0.7097877	Yes	
row_19	RPL3	8796	-0.33554062247276306	-0.7062877	Yes	
row_20	RPL18	8838	-0.342781662940979	-0.7038495	Yes	
row_21	RPL35	8872	-0.3483036458492279	-0.7005774	Yes	
row_22	RPL28	8890	-0.3527940511703491	-0.69575584	Yes	
row_23	RPL23A	9006	-0.37793996930122375	-0.69947195	Yes	
row_24	UBA52	9008	-0.37816476821899414	-0.69272333	Yes	
row_25	RPL27A	9009	-0.3782815635204315	-0.6858809	Yes	
row_26	RPL36	9064	-0.3913668692111969	-0.68375677	Yes	
row_27	RPL13A	9181	-0.41308727860450745	-0.68692887	Yes	
row_28	RPS27	9248	-0.4278600811958313	-0.68524575	Yes	
row_29	RPLP2	9431	-0.48067107796669006	-0.69325155	Yes	
row_30	RPS9	9448	-0.48473241925239563	-0.6859517	Yes	
row_31	RPL26	9515	-0.5064834356307983	-0.6828465	Yes	
row_32	FAU	9554	-0.5186751484870911	-0.6769514	Yes	
row_33	RPS7	9645	-0.5477893948554993	-0.6753012	Yes	
row_34	RPL4	9709	-0.5800789594650269	-0.67058945	Yes	
row_35	RPLP1	9756	-0.6016945838928223	-0.6639268	Yes	
row_36	RPL24	9810	-0.6221414804458618	-0.65753657	Yes	
row_37	RPL13	9822	-0.6260712146759033	-0.6472214	Yes	
row_38	RPL6	9823	-0.6266925930976868	-0.6358856	Yes	
row_39	RPS12	9869	-0.6444604992866516	-0.6283576	Yes	
row_40	RPS28	9911	-0.6612013578414917	-0.62015975	Yes	
row_41	RPS29	9979	-0.6944938898086548	-0.61374545	Yes	
row_42	RPS15A	9994	-0.7010594010353088	-0.60234916	Yes	
row_43	RPL37	10002	-0.7052362561225891	-0.59023494	Yes	
row_44	RPL38	10007	-0.7069554924964905	-0.57781434	Yes	
row_45	RPL18A	10011	-0.7087425589561462	-0.5652697	Yes	
row_46	RPL37A	10032	-0.7217493653297424	-0.5540497	Yes	
row_47	RPS13	10034	-0.722403883934021	-0.5410744	Yes	
row_48	RPL10A	10056	-0.7314472198486328	-0.52977073	Yes	
row_49	RPL41	10100	-0.760421097278595	-0.51996166	Yes	
row_50	RPL23	10103	-0.760899543762207	-0.5063818	Yes	
row_51	RPL21	10124	-0.7719473838806152	-0.4942538	Yes	
row_52	RPS20	10131	-0.7755035161972046	-0.48077685	Yes	
row_53	RPS11	10153	-0.7905092239379883	-0.46840483	Yes	
row_54	RPLP0	10155	-0.7905441522598267	-0.454197	Yes	
row_55	RPS4Y1	10182	-0.8026286959648132	-0.44206458	Yes	
row_56	RPS23	10187	-0.8054326176643372	-0.4278627	Yes	
row_57	RPS21	10192	-0.8073448538780212	-0.41362625	Yes	
row_58	RPL10	10195	-0.8099228739738464	-0.39915967	Yes	
row_59	RPS14	10203	-0.8153738379478455	-0.38505325	Yes	
row_60	RPL27	10233	-0.8302063345909119	-0.3726973	Yes	
row_61	RPS4X	10234	-0.8308243751525879	-0.3576691	Yes	
row_62	RPS24	10238	-0.8329468369483948	-0.34287778	Yes	
row_63	RPL15	10266	-0.8505349159240723	-0.32997057	Yes	
row_64	RPS27A	10287	-0.863686203956604	-0.31618315	Yes	
row_65	RPS6	10295	-0.8663057684898376	-0.30115548	Yes	
row_66	RPL5	10298	-0.8688015937805176	-0.28562388	Yes	
row_67	RPL39	10299	-0.8690515756607056	-0.26990423	Yes	
row_68	RPL22L1	10329	-0.8926311731338501	-0.2564191	Yes	
row_69	RPS26	10334	-0.8992618322372437	-0.24052002	Yes	
row_70	RPSA	10342	-0.906067967414856	-0.22477311	Yes	
