NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ITGB2	124	1.9513965845108032	0.14656568	Yes	
row_1	CD9	353	1.442237377166748	0.24244945	Yes	
row_2	RXRA	507	1.2661738395690918	0.33093116	Yes	
row_3	ABCA1	568	1.2198783159255981	0.42415196	Yes	
row_4	MYD88	974	0.9159386157989502	0.46130714	Yes	
row_5	ADTRP	1112	0.8502914905548096	0.51760143	Yes	
row_6	ADAM17	1210	0.7981898784637451	0.57332975	Yes	
row_7	SYK	1263	0.7765043377876282	0.63140905	Yes	
row_8	FCER1G	1380	0.7287787795066833	0.67978823	Yes	
row_9	AKT1	1408	0.7165042161941528	0.735294	Yes	
row_10	TGFB1	2377	0.43485623598098755	0.6821631	No	
row_11	TLR6	3012	0.3157649636268616	0.6498688	No	
row_12	SCARB1	4183	0.1670215129852295	0.5566396	No	
row_13	TLR4	4461	0.135757178068161	0.5423517	No	
row_14	TXNIP	4683	0.11396251618862152	0.5314095	No	
row_15	ITGB1	5551	0.028037838637828827	0.4545793	No	
row_16	SREBF2	5652	0.01965445838868618	0.4470462	No	
row_17	CD81	6095	-0.01335726398974657	0.40780208	No	
row_18	LDLR	6354	-0.033676307648420334	0.38698867	No	
row_19	TICAM1	6570	-0.050318095833063126	0.37144467	No	
row_20	MIA3	6984	-0.0882200226187706	0.3409031	No	
row_21	CD36	8573	-0.29359501600265503	0.21977924	No	
