NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	HBM	0	4.194972038269043	0.16201904	Yes	
row_1	HBA2	7	3.2384095191955566	0.28654623	Yes	
row_2	HBG1	8	3.103111743927002	0.40639523	Yes	
row_3	HBG2	12	2.988312005996704	0.52153677	Yes	
row_4	ALAS2	26	2.617058277130127	0.6214275	Yes	
row_5	HBB	36	2.4547717571258545	0.71541524	Yes	
row_6	DMTN	80	2.1525769233703613	0.7946302	Yes	
row_7	HBD	430	1.3470706939697266	0.8148227	Yes	
row_8	SH2B3	1219	0.7940168976783752	0.77361125	No	
row_9	ALAS1	2029	0.5159341096878052	0.7197441	No	
row_10	HBQ1	2780	0.3568737804889679	0.6651154	No	
row_11	G6PD	3908	0.20215126872062683	0.5701226	No	
row_12	ABCB10	3987	0.1920200139284134	0.57042396	No	
row_13	NCKAP1L	4127	0.17400608956813812	0.56446546	No	
row_14	HEATR3	4564	0.1260892003774643	0.52956516	No	
row_15	ZBTB7A	5621	0.02189287170767784	0.4340867	No	
row_16	NEMP1	8352	-0.2599101662635803	0.1951056	No	
row_17	LYAR	8388	-0.26479917764663696	0.20214017	No	
row_18	MED1	8566	-0.29314929246902466	0.19731702	No	
row_19	GATA1	9743	-0.5947155356407166	0.11301633	No	
