NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	EEF1D	1319	0.7529603242874146	-0.10781601	No	
row_1	RPS25	1443	0.7026665806770325	-0.10675117	No	
row_2	RPL7A	2373	0.4356493651866913	-0.18435279	No	
row_3	RPL39L	3045	0.31206759810447693	-0.24044864	No	
row_4	RPL36A	5099	0.07143504172563553	-0.42761052	No	
row_5	RPL26L1	6604	-0.0530717559158802	-0.5647098	No	
row_6	RPS27L	6728	-0.06424795836210251	-0.5748688	No	
row_7	RPS10	7135	-0.10404562950134277	-0.610301	No	
row_8	RPL36AL	7606	-0.15650561451911926	-0.6506846	No	
row_9	EEF1A1	7747	-0.17468887567520142	-0.6604622	No	
row_10	EEF2	8017	-0.2074657529592514	-0.68150276	No	
row_11	RPS3	8179	-0.23130711913108826	-0.6922123	No	
row_12	RPL8	8180	-0.2313808649778366	-0.68814445	No	
row_13	RPL14	8206	-0.23593604564666748	-0.6862909	No	
row_14	RPL30	8210	-0.23676931858062744	-0.6824037	No	
row_15	RPS16	8316	-0.2549116909503937	-0.6875587	No	
row_16	RPS18	8414	-0.26829150319099426	-0.6917443	No	
row_17	RPL19	8648	-0.3067712187767029	-0.70773506	Yes	
row_18	RPS19	8708	-0.31517818570137024	-0.7076088	Yes	
row_19	RPS15	8767	-0.3287529945373535	-0.7071521	Yes	
row_20	RPL3	8796	-0.33554062247276306	-0.70382285	Yes	
row_21	RPL18	8838	-0.342781662940979	-0.70155936	Yes	
row_22	RPL35	8872	-0.3483036458492279	-0.6984646	Yes	
row_23	RPL28	8890	-0.3527940511703491	-0.6938224	Yes	
row_24	RPL23A	9006	-0.37793996930122375	-0.69773227	Yes	
row_25	UBA52	9008	-0.37816476821899414	-0.69117564	Yes	
row_26	RPL27A	9009	-0.3782815635204315	-0.6845252	Yes	
row_27	RPL36	9064	-0.3913668692111969	-0.6826006	Yes	
row_28	RPL13A	9181	-0.41308727860450745	-0.6859843	Yes	
row_29	RPS27	9248	-0.4278600811958313	-0.6845195	Yes	
row_30	RPLP2	9431	-0.48067107796669006	-0.6927723	Yes	
row_31	RPS9	9448	-0.48473241925239563	-0.68571883	Yes	
row_32	RPL26	9515	-0.5064834356307983	-0.68287176	Yes	
row_33	FAU	9554	-0.5186751484870911	-0.6772406	Yes	
row_34	RPS7	9645	-0.5477893948554993	-0.67586994	Yes	
row_35	RPL4	9709	-0.5800789594650269	-0.6714537	Yes	
row_36	RPLP1	9756	-0.6016945838928223	-0.6650972	Yes	
row_37	RPL24	9810	-0.6221414804458618	-0.6590237	Yes	
row_38	RPL13	9822	-0.6260712146759033	-0.64902645	Yes	
row_39	RPL6	9823	-0.6266925930976868	-0.6380087	Yes	
row_40	RPS12	9869	-0.6444604992866516	-0.6308086	Yes	
row_41	RPS28	9911	-0.6612013578414917	-0.62294704	Yes	
row_42	RPS29	9979	-0.6944938898086548	-0.6168864	Yes	
row_43	RPS15A	9994	-0.7010594010353088	-0.6058461	Yes	
row_44	RPL37	10002	-0.7052362561225891	-0.59409	Yes	
row_45	RPL38	10007	-0.7069554924964905	-0.5820283	Yes	
row_46	RPL18A	10011	-0.7087425589561462	-0.5698435	Yes	
row_47	RPL37A	10032	-0.7217493653297424	-0.5589901	Yes	
row_48	RPS13	10034	-0.722403883934021	-0.54638153	Yes	
row_49	RPL10A	10056	-0.7314472198486328	-0.53544945	Yes	
row_50	RPL41	10100	-0.760421097278595	-0.5260271	Yes	
row_51	RPL23	10103	-0.760899543762207	-0.5128335	Yes	
row_52	RPL21	10124	-0.7719473838806152	-0.5010976	Yes	
row_53	RPS20	10131	-0.7755035161972046	-0.48801437	Yes	
row_54	RPS11	10153	-0.7905092239379883	-0.47604397	Yes	
row_55	RPLP0	10155	-0.7905441522598267	-0.4622374	Yes	
row_56	RPS4Y1	10182	-0.8026286959648132	-0.4505128	Yes	
row_57	RPS23	10187	-0.8054326176643372	-0.43671983	Yes	
row_58	RPS21	10192	-0.8073448538780212	-0.42289323	Yes	
row_59	RPL10	10195	-0.8099228739738464	-0.40883774	Yes	
row_60	RPS14	10203	-0.8153738379478455	-0.39514533	Yes	
row_61	RPL27	10233	-0.8302063345909119	-0.38321123	Yes	
row_62	RPS4X	10234	-0.8308243751525879	-0.36860472	Yes	
row_63	RPS24	10238	-0.8329468369483948	-0.35423625	Yes	
row_64	RPL15	10266	-0.8505349159240723	-0.3417612	Yes	
row_65	RPS27A	10287	-0.863686203956604	-0.3284125	Yes	
row_66	RPS6	10295	-0.8663057684898376	-0.31382468	Yes	
row_67	RPL5	10298	-0.8688015937805176	-0.29873407	Yes	
row_68	RPL39	10299	-0.8690515756607056	-0.28345552	Yes	
row_69	RPL22L1	10329	-0.8926311731338501	-0.27042395	Yes	
row_70	RPS26	10334	-0.8992618322372437	-0.25498137	Yes	
row_71	RPSA	10342	-0.906067967414856	-0.23969448	Yes	
row_72	RPL7	10355	-0.9206717014312744	-0.22460972	Yes	
row_73	RPL11	10419	-0.9801700711250305	-0.21315956	Yes	
row_74	RPS8	10424	-0.9836530089378357	-0.19623333	Yes	
row_75	RPL34	10429	-0.9958245754241943	-0.17909312	Yes	
row_76	RPS5	10480	-1.0516306161880493	-0.16519354	Yes	
row_77	RPL31	10484	-1.0594639778137207	-0.14684273	Yes	
row_78	RPS17	10496	-1.0684388875961304	-0.12906834	Yes	
row_79	RPL32	10501	-1.0808145999908447	-0.11043395	Yes	
row_80	RPL22	10510	-1.0957698822021484	-0.09190374	Yes	
row_81	RPL35A	10546	-1.159280776977539	-0.07473493	Yes	
row_82	RPS3A	10548	-1.1651555299758911	-0.054342434	Yes	
row_83	RPS2	10605	-1.2421635389328003	-0.0376438	Yes	
row_84	EEF1B2	10624	-1.2945566177368164	-0.016536541	Yes	
row_85	RPL29	10639	-1.3184936046600342	0.005358654	Yes	
row_86	RPL12	10701	-1.4805419445037842	0.025789268	Yes	
