NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SLC4A1	4	3.5076823234558105	0.026588906	Yes	
row_1	RHCE	23	2.7511017322540283	0.046072062	Yes	
row_2	ALAS2	26	2.617058277130127	0.06600065	Yes	
row_3	TMCC2	28	2.6032872200012207	0.08591563	Yes	
row_4	HBB	36	2.4547717571258545	0.10413586	Yes	
row_5	ACSL6	46	2.3737123012542725	0.12154867	Yes	
row_6	RBM38	49	2.345656156539917	0.13939144	Yes	
row_7	EPB42	63	2.2490315437316895	0.15547712	Yes	
row_8	SNCA	79	2.174237012863159	0.17080355	Yes	
row_9	DMTN	80	2.1525769233703613	0.18734688	Yes	
row_10	RAP1GAP	92	2.0979714393615723	0.20245607	Yes	
row_11	TENT5C	94	2.0850412845611572	0.21838814	Yes	
row_12	MYL4	96	2.079805374145508	0.23427996	Yes	
row_13	OSBP2	110	2.001478910446167	0.24846312	Yes	
row_14	MARCHF8	111	1.9964125156402588	0.26380628	Yes	
row_15	SLC25A37	130	1.928400993347168	0.2769667	Yes	
row_16	RIOK3	134	1.912750244140625	0.29139018	Yes	
row_17	SPTB	137	1.909881830215454	0.30588385	Yes	
row_18	TSPO2	138	1.9076870679855347	0.32054514	Yes	
row_19	MAP2K3	146	1.8817909955978394	0.3343618	Yes	
row_20	GYPB	161	1.8298527002334595	0.34713373	Yes	
row_21	BNIP3L	168	1.8164488077163696	0.36054042	Yes	
row_22	TSPAN5	180	1.7979525327682495	0.37334388	Yes	
row_23	ADIPOR1	183	1.796610713005066	0.38696703	Yes	
row_24	TRIM58	224	1.6717476844787598	0.396126	Yes	
row_25	BCAM	226	1.6707137823104858	0.4088738	Yes	
row_26	LRP10	228	1.6668494939804077	0.42159194	Yes	
row_27	RHD	242	1.6507402658462524	0.43307954	Yes	
row_28	GYPC	245	1.639359712600708	0.44549415	Yes	
row_29	FECH	273	1.5875130891799927	0.45520467	Yes	
row_30	TNS1	282	1.5756464004516602	0.46657628	Yes	
row_31	KAT2B	322	1.4890227317810059	0.47442317	Yes	
row_32	UCP2	410	1.3734614849090576	0.47695512	Yes	
row_33	SLC6A8	421	1.3610864877700806	0.4864933	Yes	
row_34	HBD	430	1.3470706939697266	0.49610823	Yes	
row_35	MKRN1	440	1.334033727645874	0.5055307	Yes	
row_36	TRAK2	446	1.329737901687622	0.5152891	Yes	
row_37	SMOX	458	1.3085657358169556	0.52433145	Yes	
row_38	HAGH	460	1.305733561515808	0.5342742	Yes	
row_39	SPTA1	487	1.2820003032684326	0.54172903	Yes	
row_40	P4HA2	506	1.266660213470459	0.54980373	Yes	
row_41	MXI1	586	1.1996952295303345	0.551738	Yes	
row_42	GAPVD1	589	1.195525050163269	0.5607416	Yes	
row_43	RANBP10	620	1.161496639251709	0.5669013	Yes	
row_44	KDM7A	647	1.1333041191101074	0.57321334	Yes	
row_45	NARF	653	1.1246446371078491	0.5813955	Yes	
row_46	MOCOS	713	1.0820446014404297	0.5842701	Yes	
row_47	ERMAP	756	1.0569881200790405	0.58852	Yes	
row_48	SLC22A4	788	1.0385167598724365	0.59364235	Yes	
row_49	HMBS	796	1.0304055213928223	0.60091585	Yes	
row_50	RNF123	816	1.016402006149292	0.60697496	Yes	
row_51	PPP2R5B	825	1.0128766298294067	0.6140215	Yes	
row_52	NR3C1	838	1.0014612674713135	0.62061137	Yes	
row_53	DCUN1D1	972	0.9162455201148987	0.6153871	Yes	
row_54	MOSPD1	1009	0.9031786322593689	0.61900824	Yes	
row_55	MGST3	1055	0.8794848918914795	0.62161726	Yes	
row_56	ACP5	1092	0.8615466356277466	0.6249184	Yes	
row_57	CCND3	1102	0.8573063015937805	0.6306771	Yes	
row_58	EIF2AK1	1147	0.8300843834877014	0.6329987	Yes	
row_59	KLF1	1202	0.8002362847328186	0.6341686	Yes	
row_60	FBXO7	1225	0.7907572388648987	0.6382169	Yes	
row_61	OPTN	1326	0.7506828308105469	0.63476366	No	
row_62	NUDT4	1576	0.6535806655883789	0.61682254	No	
row_63	TMEM9B	1663	0.6179310083389282	0.6136402	No	
row_64	SLC30A1	1759	0.5878164172172546	0.60939634	No	
row_65	ADD1	1800	0.5757592916488647	0.6101322	No	
row_66	FBXO9	1821	0.5691658854484558	0.61266196	No	
row_67	SLC6A9	1843	0.5624954700469971	0.6150482	No	
row_68	BTRC	1921	0.5422815084457397	0.6121145	No	
row_69	YPEL5	1957	0.5331156253814697	0.61298376	No	
row_70	ABCG2	1983	0.5273169875144958	0.6147308	No	
row_71	SLC25A38	2281	0.4552867114543915	0.59083885	No	
row_72	CLCN3	2326	0.44465765357017517	0.59019834	No	
row_73	SIDT2	2469	0.4129839539527893	0.58027625	No	
row_74	CDC27	2490	0.4103955924510956	0.58158576	No	
row_75	LPIN2	2555	0.3958246111869812	0.5787254	No	
row_76	XPO7	2624	0.3828752636909485	0.5753966	No	
row_77	RHAG	2625	0.3828481137752533	0.5783389	No	
row_78	UROS	2653	0.3780519664287567	0.5787543	No	
row_79	USP15	2681	0.37331005930900574	0.5791333	No	
row_80	MARCHF2	2844	0.3448304533958435	0.5668429	No	
row_81	GDE1	2943	0.3273128569126129	0.5603203	No	
row_82	HTRA2	3103	0.3040122091770172	0.54799294	No	
row_83	FN3K	3189	0.29312005639076233	0.5424065	No	
row_84	ARHGEF12	3231	0.2884082496166229	0.54084176	No	
row_85	RNF19A	3455	0.2612023651599884	0.52228296	No	
row_86	CIR1	3507	0.2541484832763672	0.5195327	No	
row_87	MFHAS1	3512	0.25320205092430115	0.5211097	No	
row_88	SLC7A11	3567	0.24472841620445251	0.5180104	No	
row_89	CLIC2	3625	0.2380206137895584	0.5145828	No	
row_90	BACH1	3810	0.21252040565013885	0.49924663	No	
row_91	EZH1	3854	0.207518070936203	0.4968758	No	
row_92	SLC66A2	4169	0.16826389729976654	0.46921018	No	
row_93	NFE2	4233	0.16183078289031982	0.46464372	No	
row_94	KLF3	4313	0.15373359620571136	0.4585394	No	
row_95	ISCA1	4378	0.14489802718162537	0.45375058	No	
row_96	FBXO34	4541	0.12772835791110992	0.43979168	No	
row_97	GCLC	4543	0.12755370140075684	0.44067976	No	
row_98	PC	4673	0.11523764580488205	0.42966834	No	
row_99	BTG2	4713	0.11098157614469528	0.42692447	No	
row_100	TNRC6B	4714	0.11081892997026443	0.42777616	No	
row_101	NFE2L1	4732	0.10898414999246597	0.4270459	No	
row_102	PDZK1IP1	4792	0.10310512781143188	0.42239702	No	
row_103	SLC10A3	5098	0.07159198820590973	0.39481848	No	
row_104	PSMD9	5233	0.058438003063201904	0.3829094	No	
row_105	ENDOD1	5764	0.011062020435929298	0.33411494	No	
row_106	TFRC	5968	-0.005215304438024759	0.31543326	No	
row_107	CTNS	5998	-0.007739466615021229	0.31281823	No	
row_108	NNT	6338	-0.03250453993678093	0.2818036	No	
row_109	CPOX	6439	-0.038951575756073	0.27288043	No	
row_110	BMP2K	6542	-0.04835822433233261	0.2638451	No	
row_111	HTATIP2	6741	-0.06487765163183212	0.24608307	No	
row_112	UROD	6997	-0.08963474631309509	0.22325447	No	
row_113	XK	7031	-0.09338469803333282	0.22092873	No	
row_114	DCAF10	7075	-0.09756574034690857	0.21771286	No	
row_115	KEL	7102	-0.10074423253536224	0.21608926	No	
row_116	RCL1	7270	-0.11783239245414734	0.2015932	No	
row_117	VEZF1	7342	-0.1251184046268463	0.19600677	No	
row_118	GCLM	7507	-0.1431960165500641	0.18198232	No	
row_119	RBM5	7649	-0.162898987531662	0.17023048	No	
row_120	CCDC28A	7655	-0.1635979562997818	0.17102666	No	
row_121	FOXJ2	7684	-0.1673176884651184	0.16973025	No	
row_122	CAST	8240	-0.24185113608837128	0.12040387	No	
row_123	LAMP2	8245	-0.2426520437002182	0.121899836	No	
row_124	SYNJ1	8290	-0.25116756558418274	0.11977223	No	
row_125	GYPE	9103	-0.39657774567604065	0.047933057	No	
row_126	PICALM	9311	-0.44032734632492065	0.032226473	No	
row_127	H4C9	9361	-0.45395737886428833	0.031196255	No	
row_128	AGPAT4	9689	-0.5710930824279785	0.0054276083	No	
row_129	GATA1	9743	-0.5947155356407166	0.005110266	No	
row_130	SDCBP	9878	-0.6486860513687134	-0.0022625502	No	
row_131	EPOR	9884	-0.6507413983345032	0.002277506	No	
row_132	TFDP2	10248	-0.8433927297592163	-0.024718534	No	
row_133	DAAM1	10553	-1.1715351343154907	-0.043751385	No	
row_134	SLC11A2	10660	-1.3586410284042358	-0.043085627	No	
row_135	ADD2	10672	-1.414395809173584	-0.033229966	No	
row_136	H1-0	10784	-1.69871187210083	-0.030411767	No	
row_137	HEBP1	10785	-1.707902193069458	-0.01728592	No	
row_138	MINPP1	10824	-1.8891348838806152	-0.006271802	No	
row_139	LMO2	10923	-2.7000982761383057	0.0054413415	No	
