NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CD79A	2	3.608928918838501	0.04086861	Yes	
row_1	MS4A1	3	3.5660319328308105	0.081433296	Yes	
row_2	POU2AF1	39	2.4392707347869873	0.105959974	Yes	
row_3	CD3E	40	2.4385714530944824	0.13369946	Yes	
row_4	IRF4	45	2.3742663860321045	0.16033937	Yes	
row_5	RAG2	69	2.2279911041259766	0.18356694	Yes	
row_6	BLNK	81	2.1470155715942383	0.20697765	Yes	
row_7	TCF7	86	2.115771770477295	0.23067711	Yes	
row_8	LY9	115	1.9829169511795044	0.25065678	Yes	
row_9	RAG1	127	1.9349108934402466	0.27165473	Yes	
row_10	HDAC9	159	1.8315032720565796	0.28963596	Yes	
row_11	RSAD2	201	1.7162965536117554	0.30538645	Yes	
row_12	C17orf99	210	1.7021398544311523	0.32401264	Yes	
row_13	LCK	233	1.660370945930481	0.3408754	Yes	
row_14	PAX5	257	1.6183016300201416	0.35716754	Yes	
row_15	PLCG2	259	1.6108773946762085	0.37539974	Yes	
row_16	CD74	263	1.6003787517547607	0.39332846	Yes	
row_17	ZAP70	304	1.523972511291504	0.40698326	Yes	
row_18	GPR183	382	1.4140433073043823	0.41598275	Yes	
row_19	CD3D	420	1.362239956855774	0.42807382	Yes	
row_20	PTPRJ	452	1.3143508434295654	0.44017228	Yes	
row_21	TCF3	485	1.2829720973968506	0.4518218	Yes	
row_22	FCGR2B	673	1.1078691482543945	0.44721606	Yes	
row_23	ITGA4	692	1.0953710079193115	0.45801985	Yes	
row_24	KLF6	721	1.0769033432006836	0.46769336	Yes	
row_25	DOCK10	745	1.0633063316345215	0.47767228	Yes	
row_26	LRRC8A	762	1.0526949167251587	0.48817465	Yes	
row_27	CD4	895	0.971882164478302	0.48708326	Yes	
row_28	IL2RG	926	0.9482471346855164	0.4951092	Yes	
row_29	CD79B	1013	0.9021759629249573	0.49745783	Yes	
row_30	CHD7	1085	0.863643229007721	0.5007485	Yes	
