NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RPS25	1443	0.7026665806770325	-0.11959494	No	
row_1	RPL7A	2373	0.4356493651866913	-0.19689491	No	
row_2	RPL39L	3045	0.31206759810447693	-0.2527746	No	
row_3	RPL36A	5099	0.07143504172563553	-0.439855	No	
row_4	RPL26L1	6604	-0.0530717559158802	-0.5768941	No	
row_5	RPS27L	6728	-0.06424795836210251	-0.5870089	No	
row_6	RPS10	7135	-0.10404562950134277	-0.6223659	No	
row_7	RPL36AL	7606	-0.15650561451911926	-0.66263884	No	
row_8	EEF1A1	7747	-0.17468887567520142	-0.67229944	No	
row_9	EEF2	8017	-0.2074657529592514	-0.6931993	No	
row_10	RPS3	8179	-0.23130711913108826	-0.7037542	No	
row_11	RPL8	8180	-0.2313808649778366	-0.6995345	No	
row_12	RPL14	8206	-0.23593604564666748	-0.6975257	No	
row_13	RPL30	8210	-0.23676931858062744	-0.69348294	No	
row_14	RPS16	8316	-0.2549116909503937	-0.69846886	No	
row_15	RPS18	8414	-0.26829150319099426	-0.7024767	No	
row_16	RPL19	8648	-0.3067712187767029	-0.7182621	Yes	
row_17	RPS19	8708	-0.31517818570137024	-0.71792793	Yes	
row_18	RPS15	8767	-0.3287529945373535	-0.7172545	Yes	
row_19	RPL3	8796	-0.33554062247276306	-0.71370447	Yes	
row_20	RPL18	8838	-0.342781662940979	-0.71121526	Yes	
row_21	RPL35	8872	-0.3483036458492279	-0.7078912	Yes	
row_22	RPL28	8890	-0.3527940511703491	-0.7030172	Yes	
row_23	RPL23A	9006	-0.37793996930122375	-0.706677	Yes	
row_24	UBA52	9008	-0.37816476821899414	-0.6998721	Yes	
row_25	RPL27A	9009	-0.3782815635204315	-0.6929733	Yes	
row_26	RPL36	9064	-0.3913668692111969	-0.6907909	Yes	
row_27	RPL13A	9181	-0.41308727860450745	-0.6939015	Yes	
row_28	RPS27	9248	-0.4278600811958313	-0.69215465	Yes	
row_29	RPLP2	9431	-0.48067107796669006	-0.70008886	Yes	
row_30	RPS9	9448	-0.48473241925239563	-0.6927169	Yes	
row_31	RPL26	9515	-0.5064834356307983	-0.6895362	Yes	
row_32	FAU	9554	-0.5186751484870911	-0.6835639	Yes	
row_33	RPS7	9645	-0.5477893948554993	-0.68183213	Yes	
row_34	RPL4	9709	-0.5800789594650269	-0.677034	Yes	
row_35	RPLP1	9756	-0.6016945838928223	-0.6702817	Yes	
row_36	RPL24	9810	-0.6221414804458618	-0.66379887	Yes	
row_37	RPL13	9822	-0.6260712146759033	-0.65339047	Yes	
row_38	RPL6	9823	-0.6266925930976868	-0.64196134	Yes	
row_39	RPS12	9869	-0.6444604992866516	-0.63433737	Yes	
row_40	RPS28	9911	-0.6612013578414917	-0.62604105	Yes	
row_41	RPS29	9979	-0.6944938898086548	-0.61952335	Yes	
row_42	RPS15A	9994	-0.7010594010353088	-0.60802263	Yes	
row_43	RPL37	10002	-0.7052362561225891	-0.59580344	Yes	
row_44	RPL38	10007	-0.7069554924964905	-0.5832776	Yes	
row_45	RPL18A	10011	-0.7087425589561462	-0.5706274	Yes	
row_46	RPL37A	10032	-0.7217493653297424	-0.5592999	Yes	
row_47	RPS13	10034	-0.722403883934021	-0.546217	Yes	
row_48	RPL10A	10056	-0.7314472198486328	-0.5348044	Yes	
row_49	RPL41	10100	-0.760421097278595	-0.52488214	Yes	
row_50	RPL23	10103	-0.760899543762207	-0.511189	Yes	
row_51	RPL21	10124	-0.7719473838806152	-0.498946	Yes	
row_52	RPS20	10131	-0.7755035161972046	-0.48535356	Yes	
row_53	RPS11	10153	-0.7905092239379883	-0.47286382	Yes	
row_54	RPLP0	10155	-0.7905441522598267	-0.4585383	Yes	
row_55	RPS4Y1	10182	-0.8026286959648132	-0.44628635	Yes	
row_56	RPS23	10187	-0.8054326176643372	-0.43196455	Yes	
row_57	RPS21	10192	-0.8073448538780212	-0.41760787	Yes	
row_58	RPL10	10195	-0.8099228739738464	-0.40302065	Yes	
row_59	RPS14	10203	-0.8153738379478455	-0.38879284	Yes	
row_60	RPL27	10233	-0.8302063345909119	-0.37631324	Yes	
row_61	RPS4X	10234	-0.8308243751525879	-0.36116132	Yes	
row_62	RPS24	10238	-0.8329468369483948	-0.34624597	Yes	
row_63	RPL15	10266	-0.8505349159240723	-0.3332121	Yes	
row_64	RPS27A	10287	-0.863686203956604	-0.3192961	Yes	
row_65	RPS6	10295	-0.8663057684898376	-0.3041394	Yes	
row_66	RPL5	10298	-0.8688015937805176	-0.28847843	Yes	
row_67	RPL39	10299	-0.8690515756607056	-0.27262935	Yes	
row_68	RPL22L1	10329	-0.8926311731338501	-0.2590113	Yes	
