NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RPS25	1443	0.7026665806770325	-0.11884069	No	
row_1	RPL7A	2373	0.4356493651866913	-0.195671	No	
row_2	MARS1	3930	0.19853393733501434	-0.33454806	No	
row_3	RPL36A	5099	0.07143504172563553	-0.44028407	No	
row_4	RPS10	7135	-0.10404562950134277	-0.6248991	No	
row_5	RPS3	8179	-0.23130711913108826	-0.7161046	No	
row_6	RPL8	8180	-0.2313808649778366	-0.7116645	No	
row_7	RPL14	8206	-0.23593604564666748	-0.7094295	No	
row_8	RPL30	8210	-0.23676931858062744	-0.70516104	No	
row_9	RPS16	8316	-0.2549116909503937	-0.709898	No	
row_10	RPS18	8414	-0.26829150319099426	-0.71364456	No	
row_11	RPL19	8648	-0.3067712187767029	-0.72912407	Yes	
row_12	RPS19	8708	-0.31517818570137024	-0.7284863	Yes	
row_13	RPS15	8767	-0.3287529945373535	-0.72749627	Yes	
row_14	RPL3	8796	-0.33554062247276306	-0.723625	Yes	
row_15	RPL18	8838	-0.342781662940979	-0.7208069	Yes	
row_16	RPL35	8872	-0.3483036458492279	-0.7171492	Yes	
row_17	RPL28	8890	-0.3527940511703491	-0.7119381	Yes	
row_18	RPL23A	9006	-0.37793996930122375	-0.7152312	Yes	
row_19	UBA52	9008	-0.37816476821899414	-0.70806605	Yes	
row_20	RPL27A	9009	-0.3782815635204315	-0.700807	Yes	
row_21	RPL36	9064	-0.3913668692111969	-0.6982486	Yes	
row_22	RPL13A	9181	-0.41308727860450745	-0.7009589	Yes	
row_23	RPS27	9248	-0.4278600811958313	-0.6988007	Yes	
row_24	RPLP2	9431	-0.48067107796669006	-0.7062664	Yes	
row_25	RPS9	9448	-0.48473241925239563	-0.69843173	Yes	
row_26	RPL26	9515	-0.5064834356307983	-0.6947648	Yes	
row_27	FAU	9554	-0.5186751484870911	-0.6882962	Yes	
row_28	RPS7	9645	-0.5477893948554993	-0.6860374	Yes	
row_29	RPL4	9709	-0.5800789594650269	-0.6806831	Yes	
row_30	RPLP1	9756	-0.6016945838928223	-0.673355	Yes	
row_31	RACK1	9768	-0.6068978309631348	-0.6627175	Yes	
row_32	RPL24	9810	-0.6221414804458618	-0.6545386	Yes	
row_33	RPL13	9822	-0.6260712146759033	-0.64353323	Yes	
row_34	RPL6	9823	-0.6266925930976868	-0.6315072	Yes	
row_35	RPS12	9869	-0.6444604992866516	-0.62326676	Yes	
row_36	RPS28	9911	-0.6612013578414917	-0.6143383	Yes	
row_37	RPS29	9979	-0.6944938898086548	-0.60715514	Yes	
row_38	RPS15A	9994	-0.7010594010353088	-0.59498584	Yes	
row_39	RPL37	10002	-0.7052362561225891	-0.58209455	Yes	
row_40	RPL38	10007	-0.7069554924964905	-0.5688951	Yes	
row_41	RPL18A	10011	-0.7087425589561462	-0.55556965	Yes	
row_42	RPL37A	10032	-0.7217493653297424	-0.5435536	Yes	
row_43	RPS13	10034	-0.722403883934021	-0.5297826	Yes	
row_44	RPL10A	10056	-0.7314472198486328	-0.51767206	Yes	
row_45	RPL41	10100	-0.760421097278595	-0.507023	Yes	
row_46	RPL23	10103	-0.760899543762207	-0.492605	Yes	
row_47	RPL21	10124	-0.7719473838806152	-0.4796256	Yes	
row_48	RPS20	10131	-0.7755035161972046	-0.46529415	Yes	
row_49	RPS11	10153	-0.7905092239379883	-0.45205027	Yes	
row_50	RPLP0	10155	-0.7905441522598267	-0.4369717	Yes	
row_51	RPS23	10187	-0.8054326176643372	-0.42435846	Yes	
row_52	RPS21	10192	-0.8073448538780212	-0.4092326	Yes	
row_53	RPL10	10195	-0.8099228739738464	-0.39387384	Yes	
row_54	RPS14	10203	-0.8153738379478455	-0.378869	Yes	
row_55	RPL27	10233	-0.8302063345909119	-0.36559695	Yes	
row_56	RPS4X	10234	-0.8308243751525879	-0.34965372	Yes	
row_57	RPS24	10238	-0.8329468369483948	-0.33394486	Yes	
row_58	RPL15	10266	-0.8505349159240723	-0.3200993	Yes	
row_59	RPS6	10295	-0.8663057684898376	-0.30604282	Yes	
row_60	RPL5	10298	-0.8688015937805176	-0.2895542	Yes	
row_61	RPL39	10299	-0.8690515756607056	-0.2728774	Yes	
row_62	RPS26	10334	-0.8992618322372437	-0.25873873	Yes	
row_63	RPSA	10342	-0.906067967414856	-0.24199349	Yes	
row_64	RPL7	10355	-0.9206717014312744	-0.22542651	Yes	
row_65	RPL11	10419	-0.9801700711250305	-0.21239455	Yes	
row_66	RPS8	10424	-0.9836530089378357	-0.19388539	Yes	
row_67	RPL34	10429	-0.9958245754241943	-0.17514266	Yes	
row_68	RPS5	10480	-1.0516306161880493	-0.15954727	Yes	
row_69	RPL31	10484	-1.0594639778137207	-0.13949162	Yes	
row_70	RPS17	10496	-1.0684388875961304	-0.11999735	Yes	
row_71	RPL32	10501	-1.0808145999908447	-0.09962369	Yes	
row_72	RPL22	10510	-1.0957698822021484	-0.07932984	Yes	
row_73	RPL35A	10546	-1.159280776977539	-0.060293175	Yes	
row_74	RPS3A	10548	-1.1651555299758911	-0.038025934	Yes	
row_75	RPS2	10605	-1.2421635389328003	-0.019324496	Yes	
row_76	RPL29	10639	-1.3184936046600342	0.0029508148	Yes	
row_77	RPL12	10701	-1.4805419445037842	0.02576815	Yes	
