NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_HEME_METABOLISM%MSIGDBHALLMARK%HALLMARK_HEME_METABOLISM	HALLMARK_HEME_METABOLISM%MSIGDBHALLMARK%HALLMARK_HEME_METABOLISM	Details ...	140	0.6382169	2.3423395	0.0	0.0	0.0	1225	tags=44%, list=11%, signal=48%	
B CELL RECEPTOR SIGNALING PATHWAY%GOBP%GO:0050853	B CELL RECEPTOR SIGNALING PATHWAY%GOBP%GO:0050853	Details ...	33	0.74564946	2.1591547	0.0	0.001101764	0.002	1578	tags=61%, list=14%, signal=71%	
B CELL DIFFERENTIATION%GOBP%GO:0030183	B CELL DIFFERENTIATION%GOBP%GO:0030183	Details ...	52	0.68546903	2.12682	0.0	0.0014644382	0.004	1210	tags=40%, list=11%, signal=45%	
IMMUNE RESPONSE-ACTIVATING CELL SURFACE RECEPTOR SIGNALING PATHWAY%GOBP%GO:0002429	IMMUNE RESPONSE-ACTIVATING CELL SURFACE RECEPTOR SIGNALING PATHWAY%GOBP%GO:0002429	Details ...	149	0.5709702	2.120944	0.0	0.0010983286	0.004	1578	tags=34%, list=14%, signal=39%	
ANTIGEN RECEPTOR-MEDIATED SIGNALING PATHWAY%GOBP%GO:0050851	ANTIGEN RECEPTOR-MEDIATED SIGNALING PATHWAY%GOBP%GO:0050851	Details ...	98	0.59962684	2.1132758	0.0	8.786629E-4	0.004	1578	tags=36%, list=14%, signal=41%	
ERYTHROCYTE DEVELOPMENT%GOBP%GO:0048821	ERYTHROCYTE DEVELOPMENT%GOBP%GO:0048821	Details ...	20	0.8148227	2.0838602	0.0	9.145476E-4	0.005	430	tags=40%, list=4%, signal=42%	
BINDING AND UPTAKE OF LIGANDS BY SCAVENGER RECEPTORS%REACTOME%R-HSA-2173782.3	BINDING AND UPTAKE OF LIGANDS BY SCAVENGER RECEPTORS%REACTOME%R-HSA-2173782.3	Details ...	19	0.80332583	2.0598776	0.0	0.0015685074	0.008	769	tags=58%, list=7%, signal=62%	
INTERFERON ALPHA BETA SIGNALING%REACTOME%R-HSA-909733.9	INTERFERON ALPHA BETA SIGNALING%REACTOME%R-HSA-909733.9	Details ...	60	0.6361064	2.0434494	0.0	0.0019236454	0.012	1855	tags=47%, list=17%, signal=56%	
LEUKOCYTE MEDIATED CYTOTOXICITY%GOBP%GO:0001909	LEUKOCYTE MEDIATED CYTOTOXICITY%GOBP%GO:0001909	Details ...	32	0.69501764	2.0142078	0.0	0.0054913135	0.043	889	tags=38%, list=8%, signal=41%	
IMMUNE RESPONSE-REGULATING CELL SURFACE RECEPTOR SIGNALING PATHWAY%GOBP%GO:0002768	IMMUNE RESPONSE-REGULATING CELL SURFACE RECEPTOR SIGNALING PATHWAY%GOBP%GO:0002768	Details ...	164	0.5409225	2.0110822	0.0	0.005051543	0.044	1578	tags=33%, list=14%, signal=38%	
