"","Ctrl2","Ctrl8","P18","P19","P20","P21","P22","P23"
"TSPAN6",33.6816529423375,28.7453653991089,0,0,0,0,19.4377787735607,0
"DPM1",117.542094962035,51.995293295447,16.590949852297,60.4965247701645,57.4195802166447,136.958439978799,15.8820875344947,57.7222438931401
"SCYL3",8.24856806751122,21.9817500110833,0.487969113302854,13.5089327156678,10.8899203859154,22.446870210302,7.82252072594515,6.10072496431562
"FIRRM",3.43690336146301,8.03179327328043,5.36766024633139,3.52406940408725,0.989992762355943,5.53038831268309,13.5116267084507,0.938573071433172
"FGR",28.0107623959235,12.2590528907965,34.6458070445026,14.096277616349,49.9946344989751,12.3620444636446,0,53.4986650716908
"CFH",60.3176539936758,45.2316779074214,0,1.17468980136242,0.989992762355943,1.95190175741756,0.711138247813196,12.6707364643478
"FUCA2",30.7602850850939,31.2817211696185,25.3743938917484,38.7647634449598,18.8098624847629,22.7721871698716,36.7421428036818,30.5036248215781
"GCLC",153.114044753177,91.308807738346,155.174178030307,154.471708879158,168.29876960051,193.563590943908,46.6980782730665,121.545212750596
"NFYA",74.5808029437473,64.2543461862435,47.8209731036796,32.8913144381477,62.3695440284244,146.717948765887,61.3949353945392,77.9015649289533
"STPG1",3.43690336146301,10.9908750055416,17.0789189655999,0,7.42494571766957,2.27721871698716,0,1.40785960714976
"NIPAL3",29.5573689085819,48.6134856014342,84.9066257146965,37.5900736435974,55.9345910731108,20.4949684528844,36.7421428036818,20.1793210358132
"LAS1L",52.4127762623109,75.6679471535367,40.5014364041368,98.6739433144431,45.5396670683734,38.7127181887816,47.8833086860885,66.6386880717552
"ENPP4",74.7526481118205,27.0544615521025,29.7661159114741,11.159553112943,24.2548226777206,79.3773381349808,19.4377787735607,6.5700115000322
"ANKIB1",112.38673991984,109.908750055416,95.6419462073593,125.691808745779,112.364178527399,228.047188658285,106.670737171979,128.584510786345
"KRIT1",53.4438472707498,72.7088654212755,25.8623630050512,83.9903207974129,69.794489746094,29.603843320833,103.826184180727,89.6337283218679
"RAD52",19.7621943284123,31.2817211696185,11.2232896059656,12.9215878149866,22.2748371530087,11.0607766253662,71.5879169465284,14.5478826072142
"BAD",0,2.95908173226121,6.3435984729371,25.255830729292,1.48498914353391,0.650633919139187,4.50387556948357,1.40785960714976
"LAP3",137.99166996274,36.3544327106377,235.201112611975,126.866498547141,55.9345910731108,286.929558340382,88.1811427288362,101.365891714783
"HS3ST1",4.63981953797506,15.6408605848093,25.3743938917484,11.7468980136242,6.9299493364916,18.8683836550364,30.5789446559674,10.3243037857649
